#mag	emag	col	ecol
20.34	0.01	2.52	0.02
21.11	0.01	2.51	0.03
22.27	0.02	2.42	0.05
22.78	0.03	2.23	0.07
21.27	0.01	2.27	0.03
21.99	0.02	2.26	0.05
23.21	0.04	1.03	0.05
21.20	0.01	2.33	0.03
20.27	0.01	2.37	0.02
19.51	0.00	2.79	0.01
22.10	0.01	2.24	0.04
21.55	0.01	1.98	0.03
23.71	0.06	2.26	0.21
23.14	0.07	1.73	0.14
19.96	0.01	2.46	0.01
23.38	0.04	2.30	0.12
24.98	0.09	2.30	0.37
22.08	0.01	2.35	0.05
23.26	0.04	1.95	0.10
21.20	0.01	2.33	0.03
21.95	0.02	0.97	0.04
20.90	0.01	2.41	0.03
24.41	0.09	1.61	0.18
23.07	0.03	1.98	0.08
21.27	0.01	2.34	0.03
24.06	0.08	0.62	0.07
22.24	0.02	0.88	0.03
20.67	0.01	2.06	0.02
22.80	0.03	2.77	0.11
24.02	0.06	1.13	0.10
22.68	0.02	2.25	0.07
23.59	0.04	0.61	0.05
22.84	0.04	1.49	0.07
24.47	0.08	0.67	0.10
22.90	0.03	2.10	0.09
22.44	0.02	1.40	0.04
23.60	0.04	2.39	0.17
21.84	0.01	1.49	0.02
22.92	0.03	2.36	0.09
19.62	0.01	2.46	0.02
21.10	0.01	2.34	0.03
20.01	0.01	2.40	0.02
23.61	0.04	2.40	0.16
21.61	0.01	2.44	0.04
21.39	0.01	1.99	0.03
24.39	0.08	0.96	0.10
23.19	0.04	1.14	0.05
24.35	0.06	1.90	0.17
21.23	0.01	2.44	0.03
19.95	0.01	2.44	0.01
23.84	0.05	0.68	0.06
22.12	0.02	2.31	0.05
20.60	0.01	2.42	0.02
20.83	0.01	2.32	0.02
21.38	0.01	1.31	0.02
23.92	0.08	2.23	0.21
23.66	0.04	1.06	0.06
25.00	0.11	0.81	0.15
24.71	0.11	0.69	0.15
20.82	0.01	1.83	0.03
24.21	0.06	1.15	0.10
22.25	0.04	1.19	0.06
23.81	0.06	0.93	0.08
24.40	0.06	1.20	0.12
22.31	0.03	1.39	0.04
24.00	0.06	0.86	0.09
20.93	0.01	2.30	0.03
24.87	0.10	1.42	0.22
22.45	0.02	2.26	0.06
23.66	0.06	0.92	0.07
24.00	0.06	2.03	0.16
22.57	0.03	2.20	0.08
24.25	0.07	2.03	0.21
21.04	0.01	1.78	0.01
23.11	0.04	1.44	0.06
24.51	0.07	1.70	0.18
21.50	0.01	2.26	0.04
20.97	0.01	2.43	0.03
23.69	0.07	1.08	0.10
24.21	0.10	0.35	0.10
21.19	0.01	1.75	0.04
22.65	0.03	1.18	0.04
23.34	0.05	2.15	0.15
21.95	0.02	1.36	0.03
21.41	0.01	1.97	0.03
20.35	0.01	2.39	0.02
20.96	0.01	2.32	0.02
23.25	0.04	2.18	0.11
24.35	0.07	2.18	0.25
24.32	0.08	1.99	0.25
23.16	0.04	2.09	0.10
23.26	0.03	2.21	0.09
24.23	0.11	1.09	0.15
19.84	0.01	2.38	0.01
21.68	0.02	2.26	0.05
22.19	0.02	1.64	0.04
23.28	0.04	1.06	0.06
21.72	0.01	1.35	0.02
23.76	0.06	1.12	0.09
22.78	0.03	1.01	0.04
21.95	0.01	2.36	0.04
21.15	0.02	2.02	0.06
23.73	0.05	2.18	0.15
24.14	0.07	2.19	0.20
21.15	0.01	2.48	0.03
22.85	0.03	1.30	0.04
20.86	0.01	1.45	0.02
19.07	0.00	2.58	0.02
19.12	0.00	2.53	0.02
23.03	0.03	2.46	0.11
22.64	0.04	2.37	0.07
24.04	0.06	2.67	0.16
22.17	0.02	2.51	0.06
21.19	0.01	2.48	0.03
22.59	0.02	2.57	0.08
22.85	0.03	2.32	0.09
22.18	0.01	2.46	0.05
24.05	0.06	1.49	0.12
23.92	0.07	0.42	0.08
23.94	0.06	0.55	0.07
23.69	0.03	2.29	0.13
19.46	0.01	2.48	0.02
23.71	0.04	2.70	0.21
23.31	0.03	3.63	0.41
23.06	0.02	2.39	0.09
21.56	0.01	2.38	0.03
23.50	0.05	2.25	0.14
24.33	0.06	2.38	0.23
24.92	0.08	0.75	0.14
23.45	0.03	1.96	0.09
24.02	0.04	1.22	0.08
24.11	0.06	1.51	0.11
24.08	0.07	2.07	0.20
22.38	0.02	2.21	0.06
20.86	0.01	2.38	0.03
23.46	0.04	2.12	0.12
24.14	0.06	1.39	0.11
21.13	0.01	2.39	0.03
22.25	0.02	2.26	0.05
24.54	0.07	3.78	1.05
22.78	0.04	1.07	0.07
24.11	0.07	1.92	0.19
24.73	0.10	1.62	0.22
24.96	0.15	1.52	0.31
23.58	0.13	1.19	0.18
24.40	0.07	1.85	0.18
23.02	0.06	2.60	0.21
23.25	0.04	2.05	0.11
24.91	0.11	3.04	0.89
24.63	0.08	2.13	0.28
24.96	0.11	1.96	0.31
24.77	0.07	1.96	0.26
24.97	0.12	1.25	0.20
24.72	0.11	1.91	0.25
24.85	0.09	1.64	0.23
24.54	0.11	1.99	0.31
24.42	0.10	1.90	0.21
